generation,CornerStrategy,NearCornerStrategy,EdgeStrategy,NearEdgeStrategy,HighestTurnoverStrategy,PreventOpponentTurnStrategy,CaptureLastTurnStrategy,DecisiveWinStrategy,IncreaseMobilityStrategy,DecreaseOpponentMobilityStrategy,RandomizationStrategy,wins,loses,ratio
159,0.9658315826017431,-0.38823640194693204,-0.1829791300485225,-0.01847900988764735,-0.02660882705639299,0.48128135854784465,0.10694049228513076,0.3476583633779994,-0.03484303561392624,0.15236809866339687,0.12179444651784292,15,5,3.0
160,0.8116812309510989,-0.7292305971051884,0.9610436189201924,-0.028358140476784005,0.5839679999042616,0.8413055326762442,0.904947462276115,-0.6838466983358141,0.33157942367192905,0.1186333180417326,-0.6313807786025722,15,5,3.0
161,0.9658315826017431,-0.38823640194693204,-0.1829791300485225,-0.01847900988764735,-0.02660882705639299,0.48128135854784465,0.10694049228513076,0.3476583633779994,-0.03484303561392624,0.15236809866339687,0.12788470702061705,14,5,2.8
162,1.0655005107568407,-0.5636142607424949,-0.10236968261263463,-0.10002510075365953,0.08856677432397536,0.40400831593504516,0.07470989009335458,0.5148000903709564,-0.029077478706367357,0.37176019877615013,0.1354967550409463,13,7,1.8571428571428572
163,0.9092650757866495,-0.42669496609320295,-0.17941805078863338,0.020210236612905372,-0.1884614462698326,0.7059711286156014,0.08260011414021697,0.6981160611831735,0.11568241664937383,0.26054619915273275,0.011124294550957092,16,4,4.0
164,0.9092650757866495,-0.42669496609320295,-0.18312485454456462,0.020210236612905372,-0.1884614462698326,0.7059711286156014,0.08260011414021697,0.6981160611831735,0.11568241664937383,0.30752696833298876,0.011124294550957092,17,3,5.666666666666667
165,0.9068205137166889,-0.30695277975809143,-0.18391194237553693,0.08630910572820698,-0.11622903518892624,0.6874786997032339,0.0076200749949233565,0.6955908824001613,0.19730100880435314,0.34961676315601775,0.09437104917677208,14,6,2.3333333333333335
166,0.9658315826017431,-0.38823640194693204,-0.1829791300485225,-0.01847900988764735,-0.02660882705639299,0.48128135854784465,0.10694049228513076,0.3476583633779994,-0.03484303561392624,0.15236809866339687,0.12788470702061705,16,2,8.0
167,1.04005679459905,-0.31222092194955375,-0.1390294845469176,-0.01028212253455206,-0.19569836509087088,0.66817392933728,0.06464828890850488,0.6762462697124312,0.16251668724459936,0.3289589073810124,0.13423625531105363,16,4,4.0
168,0.9612608377214062,-0.4063966524117808,-0.10117360138759687,-0.054242304011377765,-0.13283891843269954,0.6459831177572303,0.08063333256264058,0.7441219395106882,0.21363349818245964,0.2319379987694823,-0.004301375379684405,15,4,3.75
169,0.8274583083529532,-0.4068577602945745,-0.25191793273902346,-0.06812519317902731,-0.11845862286897374,0.8263647990891383,-0.08758886546871111,0.8588337432904735,0.11076229890548482,0.3143208951829918,0.026790335392541942,15,5,3.0
170,0.9612608377214062,-0.4063966524117808,-0.10117360138759687,-0.054242304011377765,-0.13283891843269954,0.6459831177572303,0.08063333256264058,0.7441219395106882,0.21363349818245964,0.17310105866151076,-0.004301375379684405,15,4,3.75
171,0.9612608377214062,-0.4063966524117808,-0.10117360138759687,-0.054242304011377765,-0.13283891843269954,0.6459831177572303,0.08063333256264058,0.7441219395106882,0.21363349818245964,0.17310105866151076,-0.004301375379684405,15,4,3.75
172,0.9612608377214062,-0.4063966524117808,-0.10117360138759687,-0.054242304011377765,-0.13283891843269954,0.6459831177572303,0.08063333256264058,0.7441219395106882,0.21363349818245964,0.17310105866151076,-0.004301375379684405,14,4,3.5
173,0.7790518787542344,-0.32981556647891275,-0.1849083530781928,-0.03775052769487457,-0.032835632026145894,0.8506209289813221,-0.04158199689239636,0.8810064084621152,0.07635002548684088,0.2525155481223827,0.026657823312987522,15,5,3.0
174,0.8274583083529532,-0.4068577602945745,-0.25191793273902346,-0.06812519317902731,-0.11845862286897374,0.8263647990891383,-0.08758886546871111,0.8588337432904735,0.11076229890548482,0.3143208951829918,0.026790335392541942,16,4,4.0
175,0.8274583083529532,-0.4068577602945745,-0.25191793273902346,-0.06812519317902731,-0.11845862286897374,0.8263647990891383,-0.08758886546871111,0.8588337432904735,0.11076229890548482,0.3143208951829918,0.026790335392541942,15,5,3.0
176,0.8442504020534353,-0.4068577602945745,-0.25191793273902346,-0.06812519317902731,-0.11845862286897374,0.8263647990891383,-0.08758886546871111,0.8588337432904735,0.11076229890548482,0.3143208951829918,0.026790335392541942,16,4,4.0
177,0.8906571547602342,-0.37662641671091446,-0.15868064029280135,0.043794396970774155,-0.11706753595432781,0.48591224458092563,0.1470040207812794,0.38233913277091286,-0.0033285984282487024,0.19788005599147743,0.16935371254725254,15,5,3.0
178,0.8442504020534353,-0.4068577602945745,-0.25191793273902346,-0.06812519317902731,-0.11845862286897374,0.8263647990891383,-0.08758886546871111,0.8588337432904735,0.11076229890548482,0.3143208951829918,0.026790335392541942,13,6,2.1666666666666665
179,0.8442504020534353,-0.4068577602945745,-0.25191793273902346,-0.06812519317902731,-0.11845862286897374,0.8263647990891383,-0.08758886546871111,0.8588337432904735,0.11076229890548482,0.3143208951829918,0.026790335392541942,15,5,3.0
180,0.9658315826017431,-0.4029446405030269,-0.1453871686173939,-0.01847900988764735,-0.02660882705639299,0.48128135854784465,0.10694049228513076,0.3476583633779994,-0.03484303561392624,0.15236809866339687,0.12788470702061705,16,4,4.0
181,0.9249767451159586,-0.3047501123797133,-0.16917299891631393,-0.08240481029669418,-0.052022691568167065,0.489130805675096,0.10703502488862374,0.2765577137454909,0.0034390425245498513,0.08250461893543862,0.033691447793567586,15,5,3.0
182,0.7790518787542344,-0.32981556647891275,-0.1849083530781928,-0.03775052769487457,-0.032835632026145894,0.8506209289813221,-0.0989876863397465,0.8810064084621152,0.07635002548684088,0.2525155481223827,0.0891620101936619,15,3,5.0
183,0.9658315826017431,-0.4029446405030269,-0.1453871686173939,-0.01847900988764735,-0.02660882705639299,0.48128135854784465,0.10694049228513076,0.293782631299334,-0.03484303561392624,0.15236809866339687,0.12788470702061705,13,6,2.1666666666666665
184,0.9658315826017431,-0.38823640194693204,-0.1453871686173939,-0.01847900988764735,-0.02660882705639299,0.48128135854784465,0.10694049228513076,0.3476583633779994,-0.03484303561392624,0.15236809866339687,0.12788470702061705,14,5,2.8
185,0.9658315826017431,-0.38823640194693204,-0.1453871686173939,-0.01847900988764735,-0.02660882705639299,0.48128135854784465,0.10694049228513076,0.3476583633779994,-0.03484303561392624,0.19537457674233846,0.12788470702061705,15,4,3.75
186,0.9658315826017431,-0.38823640194693204,-0.1453871686173939,0.05528186842871764,-0.02660882705639299,0.48128135854784465,0.10694049228513076,0.3476583633779994,-0.03484303561392624,0.15236809866339687,0.12788470702061705,16,4,4.0
187,0.9658315826017431,-0.4029446405030269,-0.1453871686173939,-0.01847900988764735,-0.02660882705639299,0.48128135854784465,0.10694049228513076,0.3476583633779994,-0.03484303561392624,0.15236809866339687,0.12788470702061705,16,3,5.333333333333333
188,0.9658315826017431,-0.4029446405030269,-0.1453871686173939,-0.01847900988764735,-0.02660882705639299,0.48128135854784465,0.10694049228513076,0.3476583633779994,-0.03484303561392624,0.15236809866339687,0.12788470702061705,16,4,4.0
189,1.0710981810167437,-0.45903464437544156,-0.03255403270429519,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.09957904600528816,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.03006820459240825,15,5,3.0
190,1.0710981810167437,-0.45903464437544156,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.09957904600528816,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.03006820459240825,16,3,5.333333333333333
191,1.0710981810167437,-0.4713183002432288,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.09957904600528816,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.03006820459240825,15,4,3.75
192,1.0710981810167437,-0.45903464437544156,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.1773291579780432,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.03006820459240825,14,5,2.8
